DATE_STRIN,ECLIPSE_TYPE,MAGNITUD,LATITUDE,LONGITUDE,DURATION,EVENT
0108/8/24,P,0.1608,61.5N,154.2E,,solar_eclipse
0108/9/22,P,0.7476,60.8S,179.1W,,solar_eclipse
0109/2/17,A,0.9325,59.5S,15.2E,05m21s,solar_eclipse
0109/8/14,T,1.0276,58.4N,153.2W,01m51s,solar_eclipse
0110/2/6,A,0.9829,21.4S,96.4W,01m43s,solar_eclipse
0110/8/3,A,0.9812,20.1N,19.1E,02m00s,solar_eclipse
0111/1/27,T,1.0299,16.3N,75.2E,02m47s,solar_eclipse
0111/7/23,A,0.9421,25.2S,42.0W,07m03s,solar_eclipse
0111/12/18,P,0.2285,66.1S,178.5E,,solar_eclipse
0112/1/17,P,0.5217,63.5N,174.4E,,solar_eclipse
0112/6/12,P,0.4048,66.8N,15.8W,,solar_eclipse
0112/7/11,P,0.1475,64.2S,66.3W,,solar_eclipse
0112/12/7,A,0.9825,75.5S,171.7E,01m13s,solar_eclipse
0113/6/1,T,1.031,52.1N,28.7E,02m29s,solar_eclipse
0113/11/26,A,0.9369,27.6S,82.7E,07m44s,solar_eclipse
0114/5/22,T,1.0753,4.6N,166.2E,07m06s,solar_eclipse
0114/11/15,A,0.9149,16.3N,91.5E,11m53s,solar_eclipse
0115/5/11,T-,1.0117,69.6S,62.5W,-,solar_eclipse
0115/11/4,P,0.5657,70.3N,121.8E,,solar_eclipse
0116/4/1,A,0.983,58.9N,177.9E,01m19s,solar_eclipse
0116/9/24,T,1.0239,58.6S,118.2E,01m39s,solar_eclipse
0117/3/21,A,0.9449,6.6N,143.6E,06m59s,solar_eclipse
0117/9/13,T,1.0612,5.9S,88.0W,05m29s,solar_eclipse
0118/3/10,A,0.9363,40.1S,160.9E,06m47s,solar_eclipse
0118/9/3,T,1.0368,38.9N,49.5E,03m02s,solar_eclipse
0119/1/28,P,0.0877,69.2N,89.9W,,solar_eclipse
0119/2/27,P,0.4527,71.4S,142.2W,,solar_eclipse
0119/7/25,P,0.1459,68.5S,45.4E,,solar_eclipse
0119/8/23,P,0.4232,70.8N,3.2W,,solar_eclipse
0120/1/18,T,1.0359,28.2N,96.9E,03m16s,solar_eclipse
0120/7/13,A,0.9407,26.9S,36.0E,07m36s,solar_eclipse
0121/1/6,T,1.046,18.2S,137.0W,04m20s,solar_eclipse
0121/7/2,A,0.9668,24.3N,19.4E,04m02s,solar_eclipse
0121/12/27,H,1.0002,62.0S,8.3E,00m01s,solar_eclipse
0122/6/21,T,1.0136,74.0N,109.2W,00m55s,solar_eclipse
0122/12/16,P,0.3311,65.2S,93.6E,,solar_eclipse
0123/5/13,P,0.9772,62.4S,149.9W,,solar_eclipse
0123/6/11,Pb,0.1028,64.6N,96.4W,,solar_eclipse
0123/11/6,An,0.9098,54.4N,147.6W,08m20s,solar_eclipse
0124/5/1,T,1.0615,1.1S,89.2W,05m26s,solar_eclipse
0124/10/25,A,0.9588,1.6N,148.3E,04m31s,solar_eclipse
0125/4/21,H,1.0063,36.3N,51.8E,00m32s,solar_eclipse
0125/10/14,H2,1.0153,31.5S,10.9W,01m16s,solar_eclipse
0126/4/10,P,0.4837,61.0N,125.8W,,solar_eclipse
